ID,Time,From,To
3,0.0,7,7
6,0.0,7,7
9,0.0,3,3
10,0.0,7,7
11,0.0,4,4
13,0.0,1,1
14,0.0,0,0
17,0.0,1,1
20,0.0,2,2
23,0.0,7,7
24,0.0,0,0
29,0.0,7,7
30,0.0,7,7
31,0.0,3,3
32,0.0,0,0
40,0.0,7,7
41,0.0,3,3
55,0.0,4,4
63,0.0,7,7
64,0.0,7,7
70,0.0,5,5
71,0.0,2,2
72,0.0,4,4
74,0.0,7,7
77,0.0,7,7
78,0.0,2,2
82,0.0,7,7
83,0.0,7,7
90,0.0,5,5
94,0.0,7,7
96,0.0,7,7
102,0.0,7,7
103,0.0,7,7
107,0.0,7,7
109,0.0,7,7
112,0.0,7,7
113,0.0,0,0
119,0.0,7,7
120,0.0,2,2
123,0.0,7,7
125,0.0,0,0
132,0.0,5,5
133,0.0,3,3
135,0.0,0,0
136,0.0,2,2
139,0.0,0,0
140,0.0,1,1
141,0.0,2,2
142,0.0,1,1
143,0.0,1,1
148,0.0,7,7
149,0.0,4,4
150,0.0,7,7
151,0.0,1,1
152,0.0,3,3
156,0.0,4,4
158,0.0,5,5
159,0.0,7,7
163,0.0,0,0
166,0.0,7,7
167,0.0,7,7
168,0.0,3,3
170,0.0,1,1
171,0.0,7,7
172,0.0,2,2
173,0.0,4,4
174,0.0,0,0
178,0.0,3,3
185,0.0,2,2
186,0.0,7,7
187,0.0,7,7
188,0.0,7,7
189,0.0,5,5
191,0.0,7,7
192,0.0,7,7
193,0.0,3,3
194,0.0,7,7
196,0.0,4,4
199,0.0,7,7
200,0.0,7,7
206,0.0,0,0
207,0.0,3,3
208,0.0,1,1
211,0.0,7,7
217,0.0,7,7
228,0.0,7,7
232,0.0,7,7
234,0.0,1,1
235,0.0,7,7
237,0.0,0,0
240,0.0,1,1
244,0.0,7,7
246,0.0,0,0
247,0.0,0,0
249,0.0,2,2
256,0.0,0,0
259,0.0,0,0
260,0.0,7,7
263,0.0,7,7
267,0.0,7,7
270,0.0,3,3
275,0.0,1,1
279,0.0,2,2
285,0.0,0,0
287,0.0,1,1
288,0.0,1,1
289,0.0,7,7
295,0.0,2,2
296,0.0,2,2
297,0.0,2,2
298,0.0,7,7
299,0.0,0,0
301,0.0,3,3
309,0.0,7,7
310,0.0,2,2
313,0.0,7,7
314,0.0,3,3
316,0.0,0,0
317,0.0,7,7
321,0.0,2,2
322,0.0,7,7
323,0.0,4,4
324,0.0,0,0
326,0.0,0,0
328,0.0,7,7
329,0.0,1,1
331,0.0,4,4
335,0.0,7,7
336,0.0,2,2
339,0.0,7,7
345,0.0,7,7
350,0.0,2,2
351,0.0,0,0
353,0.0,2,2
354,0.0,4,4
355,0.0,7,7
356,0.0,3,3
