ID,Time,State
0,0,3
1,0,3
2,0,3
3,0,3
4,0,3
5,0,3
6,0,3
7,0,3
8,0,3
9,0,3
10,0,3
11,0,3
12,0,3
13,0,3
14,0,3
15,0,3
16,0,3
17,0,3
18,0,3
19,0,3
20,0,3
21,0,3
22,0,3
23,0,3
24,0,3
25,0,3
26,0,3
27,0,3
28,0,3
29,0,3
30,0,3
31,0,3
32,0,3
33,0,3
34,0,3
35,0,3
36,0,3
37,0,3
38,0,3
39,0,3
40,0,3
41,0,3
42,0,3
43,0,3
44,0,3
45,0,3
46,0,3
47,0,3
48,0,3
49,0,3
0,1,4
1,1,4
2,1,3
3,1,4
4,1,3
5,1,3
6,1,3
7,1,3
8,1,3
9,1,3
10,1,3
11,1,3
12,1,5
13,1,4
14,1,3
15,1,3
16,1,7
17,1,3
18,1,3
19,1,3
20,1,4
21,1,3
22,1,5
23,1,3
24,1,3
25,1,4
26,1,4
27,1,3
28,1,3
29,1,3
30,1,4
31,1,3
32,1,3
33,1,3
34,1,3
35,1,4
36,1,3
37,1,4
38,1,3
39,1,3
40,1,4
41,1,3
42,1,3
43,1,4
44,1,4
45,1,4
46,1,3
47,1,3
48,1,3
49,1,3
0,2,4
1,2,4
2,2,3
3,2,5
4,2,3
5,2,3
6,2,3
7,2,3
8,2,4
9,2,3
10,2,3
11,2,3
12,2,4
13,2,4
14,2,4
15,2,3
16,2,7
17,2,3
18,2,3
19,2,3
20,2,4
21,2,3
22,2,4
23,2,3
24,2,4
25,2,5
26,2,5
27,2,3
28,2,3
29,2,3
30,2,5
31,2,3
32,2,3
33,2,3
34,2,3
35,2,4
36,2,4
37,2,4
38,2,3
39,2,3
40,2,4
41,2,3
42,2,4
43,2,5
44,2,4
45,2,4
46,2,3
47,2,3
48,2,4
49,2,4
0,3,4
1,3,4
2,3,3
3,3,5
4,3,4
5,3,3
6,3,3
7,3,3
8,3,5
9,3,3
10,3,3
11,3,3
12,3,5
13,3,4
14,3,4
15,3,3
16,3,7
17,3,3
18,3,3
19,3,4
20,3,5
21,3,4
22,3,4
23,3,4
24,3,4
25,3,5
26,3,5
27,3,3
28,3,3
29,3,3
30,3,5
31,3,4
32,3,3
33,3,3
34,3,4
35,3,4
36,3,5
37,3,4
38,3,3
39,3,3
40,3,5
41,3,3
42,3,4
43,3,6
44,3,4
45,3,5
46,3,3
47,3,3
48,3,4
49,3,5
0,4,4
1,4,4
2,4,3
3,4,5
4,4,4
5,4,3
6,4,3
7,4,4
8,4,5
9,4,4
10,4,3
11,4,3
12,4,5
13,4,4
14,4,4
15,4,3
16,4,7
17,4,4
18,4,4
19,4,4
20,4,6
21,4,4
22,4,5
23,4,4
24,4,4
25,4,5
26,4,4
27,4,3
28,4,3
29,4,3
30,4,7
31,4,4
32,4,4
33,4,3
34,4,4
35,4,4
36,4,6
37,4,4
38,4,4
39,4,3
40,4,5
41,4,3
42,4,4
43,4,7
44,4,4
45,4,5
46,4,3
47,4,3
48,4,5
49,4,5
0,5,5
1,5,4
2,5,3
3,5,6
4,5,4
5,5,3
6,5,4
7,5,4
8,5,5
9,5,4
10,5,3
11,5,4
12,5,5
13,5,4
14,5,4
15,5,4
16,5,7
17,5,4
18,5,4
19,5,5
20,5,4
21,5,4
22,5,5
23,5,4
24,5,4
25,5,5
26,5,5
27,5,3
28,5,3
29,5,4
30,5,7
31,5,4
32,5,4
33,5,3
34,5,4
35,5,4
36,5,6
37,5,5
38,5,4
39,5,3
40,5,5
41,5,3
42,5,4
43,5,7
44,5,4
45,5,6
46,5,3
47,5,3
48,5,5
49,5,5
0,6,5
1,6,4
2,6,3
3,6,7
4,6,5
5,6,3
6,6,4
7,6,4
8,6,5
9,6,4
10,6,3
11,6,4
12,6,7
13,6,4
14,6,4
15,6,4
16,6,7
17,6,4
18,6,4
19,6,5
20,6,5
21,6,4
22,6,4
23,6,4
24,6,4
25,6,6
26,6,5
27,6,3
28,6,3
29,6,4
30,6,7
31,6,4
32,6,4
33,6,3
34,6,4
35,6,4
36,6,7
37,6,5
38,6,4
39,6,4
40,6,4
41,6,3
42,6,4
43,6,7
44,6,5
45,6,5
46,6,3
47,6,3
48,6,4
49,6,5
0,7,4
1,7,4
2,7,4
3,7,7
4,7,4
5,7,3
6,7,4
7,7,4
8,7,5
9,7,4
10,7,3
11,7,4
12,7,7
13,7,4
14,7,4
15,7,4
16,7,7
17,7,4
18,7,4
19,7,5
20,7,6
21,7,4
22,7,4
23,7,5
24,7,4
25,7,6
26,7,5
27,7,3
28,7,3
29,7,4
30,7,7
31,7,4
32,7,4
33,7,3
34,7,4
35,7,4
36,7,7
37,7,5
38,7,4
39,7,4
40,7,4
41,7,3
42,7,4
43,7,7
44,7,4
45,7,5
46,7,3
47,7,3
48,7,7
49,7,5
0,8,4
1,8,4
2,8,4
3,8,7
4,8,5
5,8,3
6,8,4
7,8,4
8,8,7
9,8,4
10,8,3
11,8,4
12,8,7
13,8,5
14,8,4
15,8,4
16,8,7
17,8,4
18,8,4
19,8,5
20,8,7
21,8,5
22,8,4
23,8,5
24,8,4
25,8,6
26,8,5
27,8,3
28,8,3
29,8,4
30,8,7
31,8,5
32,8,4
33,8,4
34,8,5
35,8,4
36,8,7
37,8,5
38,8,4
39,8,4
40,8,4
41,8,3
42,8,4
43,8,7
44,8,5
45,8,5
46,8,3
47,8,3
48,8,7
49,8,5
0,9,4
1,9,4
2,9,4
3,9,7
4,9,5
5,9,3
6,9,4
7,9,4
8,9,7
9,9,4
10,9,3
11,9,4
12,9,7
13,9,5
14,9,4
15,9,5
16,9,7
17,9,4
18,9,4
19,9,6
20,9,7
21,9,5
22,9,4
23,9,5
24,9,4
25,9,5
26,9,5
27,9,3
28,9,3
29,9,4
30,9,7
31,9,4
32,9,5
33,9,4
34,9,6
35,9,4
36,9,7
37,9,6
38,9,4
39,9,5
40,9,4
41,9,3
42,9,4
43,9,7
44,9,4
45,9,5
46,9,3
47,9,3
48,9,7
49,9,5
0,10,5
1,10,4
2,10,4
3,10,7
4,10,7
5,10,3
6,10,4
7,10,4
8,10,7
9,10,4
10,10,3
11,10,4
12,10,7
13,10,7
14,10,4
15,10,5
16,10,7
17,10,4
18,10,4
19,10,6
20,10,7
21,10,5
22,10,4
23,10,5
24,10,4
25,10,5
26,10,5
27,10,4
28,10,4
29,10,4
30,10,7
31,10,4
32,10,4
33,10,4
34,10,5
35,10,4
36,10,7
37,10,7
38,10,4
39,10,5
40,10,5
41,10,4
42,10,4
43,10,7
44,10,5
45,10,7
46,10,3
47,10,3
48,10,7
49,10,5
