ID,Time,From,To
0,0.0,1,1
1,0.0,0,0
2,0.0,0,0
3,0.0,1,1
4,0.0,1,1
5,0.0,1,1
6,0.0,0,0
7,0.15707596776348376,0,1
8,0.0,1,1
9,0.8457265224733913,0,1
10,0.0,1,1
11,0.7020499789402104,0,1
12,0.0,1,1
13,0.2730423218811888,0,1
14,0.0,1,1
15,0.767128809317101,0,1
16,0.0,1,1
17,0.0,0,0
18,0.7335719577949916,0,1
19,0.0,1,1
20,0.0,1,1
21,0.0,1,1
22,0.6656487896732217,0,1
23,0.09497322479360082,0,1
24,0.0,0,0
25,0.49337694897576323,0,1
26,0.0,1,1
27,0.8678882948730902,0,1
28,0.0,1,1
29,0.11889018191019762,0,1
30,0.0,1,1
31,0.748084175653276,0,1
32,0.45875183914269846,0,1
33,0.0,1,1
34,0.0,1,1
35,0.0,0,0
36,0.07828315488489779,0,1
37,0.8069495436057238,0,1
38,0.0,1,1
39,0.1102255529325582,0,1
40,0.0,1,1
41,0.0,1,1
42,0.0,1,1
43,0.0,1,1
44,0.0,1,1
45,0.0,1,1
46,0.0,1,1
47,0.0,0,0
48,0.0,0,0
49,0.0,0,0
50,0.0,1,1
51,0.0,1,1
52,0.0,1,1
53,0.36834737091340086,0,1
54,0.0,1,1
55,0.0,1,1
56,0.8260446732812143,0,1
57,0.0,0,0
58,0.5144801616818211,0,1
59,0.0,1,1
60,0.0,1,1
61,0.9482197897121383,0,1
62,0.0,1,1
63,0.0,1,1
64,0.0,0,0
65,0.5841808459583632,0,1
66,0.0,0,0
67,0.0,1,1
68,0.2112806278928704,0,1
69,0.827492078659728,0,1
70,0.8747878268598778,0,1
71,0.8439610649706204,0,1
72,0.2703651395107184,0,1
73,0.0,1,1
74,0.11363822325376538,0,1
75,0.0,0,0
76,0.0,0,0
77,0.0,0,0
78,0.0,1,1
79,0.0,0,0
80,0.0,1,1
81,0.4496135679769969,0,1
82,0.0,0,0
83,0.0,1,1
84,0.4075152202052924,0,1
85,0.0,1,1
86,0.0,1,1
87,0.0,1,1
88,0.0,1,1
89,0.0,1,1
90,0.0,1,1
91,0.0,0,0
92,0.0,1,1
93,0.0,1,1
94,0.0,0,0
95,0.0,1,1
96,0.0,1,1
97,0.0,1,1
98,0.0,0,0
99,0.0,1,1
100,0.0,1,1
101,0.0,1,1
102,0.6742924067604085,0,1
103,0.0,1,1
104,0.0,1,1
105,0.0,0,0
106,0.0,1,1
107,0.16409868868654298,0,1
108,0.32005225278634697,0,1
109,0.0,1,1
110,0.0,1,1
111,0.2658869396210207,0,1
112,0.866542150771617,0,1
113,0.0,1,1
114,0.012541670236294378,0,1
115,0.0,1,1
116,0.0,1,1
117,0.0,1,1
118,0.9346474058393281,0,1
119,0.0,0,0
120,0.0,1,1
121,0.4421762007279816,0,1
122,0.0,1,1
123,0.0,0,0
124,0.0,1,1
125,0.0,1,1
126,0.0,0,0
127,0.0,0,0
128,0.0,1,1
129,0.1097184959322155,0,1
130,0.0,1,1
131,0.0,1,1
132,0.0,0,0
133,0.9790405956012685,0,1
